Date,Temp,Rain,NO3,PH
1/1/2001,30.5,8.4,0.1,7.0
1/2/2001,30.2,65.8,1.0,6.8
1/3/2001,31.5,12.003571428571426,0.2,6.9
1/4/2001,31.6,93.5,0.1,7.0
1/5/2001,31.9,0.5,0.3,7.0
1/6/2001,30.2,78.2,0.4,6.9
1/7/2001,28.2,23.5,1.0,6.8
1/8/2001,27.4,12.003571428571426,0.6,7.1
1/9/2001,29.8,12.003571428571426,0.7,6.9
1/10/2001,29.5,4.9,2.3,7.0
1/11/2001,28.5,12.7,2.0,7.0
1/12/2001,29.3,2.0,1.9,7.1
1/1/2002,28.5,19.5,1.8,6.9
1/2/2002,26.3,9.5,4.5,7.1
1/3/2002,30.4,6.5,3.0,7.0
1/4/2002,29.5,45.0,2.0,7.0
1/5/2002,31.9,12.003571428571426,5.1,7.1
1/6/2002,30.2,14.5,12.0,7.0
1/7/2002,28.2,12.003571428571426,7.5,6.8
1/8/2002,27.4,12.003571428571426,9.6,7.1
1/9/2002,29.8,12.003571428571426,6.4,6.9
1/10/2002,29.5,73.5,14.0,7.0
1/11/2002,28.5,59.2,1.04,7.0
1/12/2002,28.1,21.5,1.31,7.1
1/1/2003,27.3,17.0,1.2,7.0
1/2/2003,26.3,16.5,1.1,7.1
1/3/2003,30.4,1.6,1.2,6.9
1/4/2003,29.5,69.5,1.0,7.0
1/5/2003,31.9,6.5,1.1,7.1
1/6/2003,30.2,0.7,1.2,7.0
1/7/2003,28.2,13.0,1.3,6.9
1/8/2003,27.4,12.003571428571426,1.4,7.1
1/9/2003,29.8,1.2,1.2,7.0
1/10/2003,29.5,20.2,1.3,7.1
1/11/2003,28.5,32.3,1.5,7.0
1/12/2003,27.9,12.003571428571426,1.6,7.1
1/1/2004,27.3,23.9,0.6,7.0
1/2/2004,26.3,12.003571428571426,0.7,6.9
1/3/2004,30.4,12.003571428571426,2.3,6.8
1/4/2004,29.5,40.0,2.0,7.0
1/5/2004,31.9,9.7,3.0,7.1
1/6/2004,28.4,12.003571428571426,3.5,7.1
1/7/2004,26.9,12.003571428571426,4.5,6.8
1/8/2004,28.5,12.003571428571426,4.2,7.1
1/9/2004,29.8,26.5,4.5,7.0
1/10/2004,29.5,12.003571428571426,5.6,7.1
1/11/2004,28.5,12.003571428571426,12.0,7.0
1/12/2004,27.1,12.003571428571426,7.5,7.1
1/1/2005,28.2,8.6,9.6,6.8
1/2/2005,31.2,12.003571428571426,16.4,6.9
1/3/2005,30.4,12.003571428571426,12.0,6.9
1/4/2005,29.9,50.6,1.04,7.0
1/5/2005,29.8,13.7,1.31,7.2
1/6/2005,29.6,12.003571428571426,2.2,7.1
1/7/2005,28.2,23.5,2.3,6.9
1/8/2005,27.4,12.003571428571426,0.93,7.1
1/9/2005,29.8,12.003571428571426,0.7,7.0
1/10/2005,29.5,23.0,2.3,7.1
1/11/2005,28.5,12.003571428571426,2.0,7.0
1/12/2005,28.2,12.003571428571426,3.0,7.1
1/1/2006,27.3,14.2,3.2,6.9
1/2/2006,26.3,4.1,4.5,6.8
1/3/2006,30.4,25.1,12.0,6.9
1/4/2006,29.5,12.003571428571426,13.0,7.1
1/5/2006,31.9,12.003571428571426,6.1,7.2
1/6/2006,28.6,12.003571428571426,12.0,7.1
1/7/2006,26.8,12.003571428571426,7.5,7.0
1/8/2006,28.5,8.4,9.6,7.2
1/9/2006,29.8,5.0,6.4,7.1
1/10/2006,28.2,12.003571428571426,12.0,7.2
1/11/2006,31.7,28.0,1.04,7.2
1/12/2006,28.7,62.1,1.31,7.1
1/1/2007,27.3,12.003571428571426,1.0,7.0
1/2/2007,26.3,12.003571428571426,2.0,6.9
1/3/2007,30.4,12.003571428571426,1.0,7.1
1/4/2007,29.5,11.3,1.04,7.1
1/5/2007,31.9,12.003571428571426,1.31,7.0
1/6/2007,30.2,12.003571428571426,1.5,7.1
1/7/2007,28.2,12.003571428571426,1.1,7.0
1/8/2007,27.4,12.003571428571426,0.93,7.1
1/9/2007,29.8,12.003571428571426,0.8,7.2
1/10/2007,29.5,12.003571428571426,0.9,7.2
1/11/2007,28.5,60.1,0.7,7.3
1/12/2007,29.1,12.003571428571426,1.0,7.2
1/1/2008,27.4,22.6,1.0,6.9
1/2/2008,26.3,21.6,1.2,6.9
1/3/2008,30.4,12.003571428571426,1.1,7.2
1/4/2008,29.5,18.0,1.04,7.1
1/5/2008,31.9,12.003571428571426,1.31,7.1
1/6/2008,28.7,12.003571428571426,1.2,7.2
1/7/2008,26.8,12.003571428571426,1.1,7.0
1/8/2008,28.5,12.003571428571426,0.93,7.2
1/9/2008,29.8,2.2,0.1,7.1
1/10/2008,29.1,12.003571428571426,0.2,7.2
1/11/2008,31.7,45.5,1.0,7.2
1/12/2008,28.7,32.0,0.3,7.4
1/1/2009,27.4,4.4,0.7,7.0
1/2/2009,26.3,53.2,1.8,6.9
1/3/2009,30.4,52.2,1.6,7.3
1/4/2009,29.5,4.1,1.04,7.1
1/5/2009,31.9,12.003571428571426,1.31,7.0
1/6/2009,28.7,12.003571428571426,1.0,7.2
1/7/2009,27.1,12.003571428571426,0.8,7.0
1/8/2009,28.5,12.003571428571426,0.93,7.0
1/9/2009,29.8,15.4,0.2,7.1
1/10/2009,28.1,13.5,0.3,7.2
1/11/2009,31.7,38.1,1.1,7.2
1/12/2009,28.7,45.1,0.2,7.6
1/1/2010,27.4,12.003571428571426,0.6,6.9
1/2/2010,26.3,12.003571428571426,1.9,7.0
1/3/2010,30.4,1.5,1.7,7.4
1/4/2010,29.5,22.4,1.0,7.2
1/5/2010,31.9,12.003571428571426,1.2,7.1
1/6/2010,28.6,3.1,1.1,7.3
1/7/2010,26.9,12.003571428571426,0.7,7.3
1/8/2010,28.5,12.003571428571426,1.0,7.2
1/9/2010,29.8,12.003571428571426,0.3,6.8
1/10/2010,27.5,12.003571428571426,0.4,6.9
1/11/2010,31.7,55.5,1.0,7.2
1/12/2010,28.7,33.9,0.3,7.6
1/1/2011,27.4,12.003571428571426,0.5,7.0
1/2/2011,26.3,28.5,1.8,7.2
1/3/2011,30.4,34.4,1.8,7.5
1/4/2011,29.5,12.003571428571426,1.0,7.4
1/5/2011,31.9,12.003571428571426,1.1,7.1
1/6/2011,28.8,12.003571428571426,0.8,7.3
1/7/2011,27.1,12.003571428571426,1.1,7.4
1/8/2011,28.5,12.003571428571426,1.2,7.2
1/9/2011,29.8,12.003571428571426,0.3,7.0
1/10/2011,28.1,12.003571428571426,0.5,7.2
1/11/2011,31.7,12.003571428571426,1.1,7.1
1/12/2011,28.7,3.8,0.4,7.7
1/1/2012,27.4,12.003571428571426,0.6,7.2
1/2/2012,26.3,12.003571428571426,1.9,7.4
1/3/2012,30.4,2.2,1.8,7.6
1/4/2012,29.5,35.6,0.9,7.4
1/5/2012,31.9,12.003571428571426,1.2,7.1
1/6/2012,28.7,9.5,0.9,7.3
1/7/2012,26.9,12.003571428571426,1.2,7.5
1/8/2012,28.5,12.003571428571426,1.3,7.2
1/9/2012,29.8,12.003571428571426,0.4,6.9
1/10/2012,27.8,12.003571428571426,0.6,7.0
1/11/2012,31.7,65.5,1.0,7.1
1/12/2012,28.7,43.8,0.3,7.7
1/1/2013,27.4,12.003571428571426,0.5,7.2
1/2/2013,26.3,28.5,2.0,7.4
1/3/2013,30.4,36.8,1.7,7.7
1/4/2013,29.5,12.003571428571426,0.8,7.5
1/5/2013,31.9,25.6,1.1,7.1
1/6/2013,29.1,12.003571428571426,1.0,7.4
1/7/2013,27.5,12.003571428571426,1.1,7.7
1/8/2013,28.5,12.003571428571426,1.2,7.7
1/9/2013,29.8,12.003571428571426,0.5,7.1
1/10/2013,27.6,12.003571428571426,0.7,6.9
1/11/2013,31.7,12.003571428571426,1.1,7.2
1/12/2013,28.7,40.5,0.4,7.7
1/1/2014,27.4,12.003571428571426,0.6,7.2
1/2/2014,26.3,12.003571428571426,1.9,7.3
1/3/2014,30.4,12.003571428571426,1.5,7.7
1/4/2014,29.5,14.5,0.9,7.5
1/5/2014,31.9,12.003571428571426,1.0,7.1
1/6/2014,26.5,2.5,0.9,7.5
1/7/2014,24.9,5.6,1.0,7.8
1/8/2014,28.5,12.003571428571426,1.3,7.7
1/9/2014,29.8,12.003571428571426,0.3,7.1
1/10/2014,27.8,12.003571428571426,0.6,7.0
1/11/2014,31.7,12.003571428571426,1.2,7.3
1/12/2014,28.7,12.003571428571426,0.5,7.8
1/1/2015,27.8,12.003571428571426,0.8,7.2
1/2/2015,28.1,12.003571428571426,0.5,7.7
1/3/2015,30.3,12.003571428571426,0.7,7.8
1/4/2015,27.5,12.003571428571426,0.5,7.5
1/5/2015,30.0,12.003571428571426,0.6,7.1
1/6/2015,27.8,12.003571428571426,0.9,7.5
1/7/2015,28.9,12.003571428571426,0.8,7.9
1/8/2015,30.8,12.003571428571426,0.6,7.8
1/9/2015,30.3,12.003571428571426,0.5,7.1
1/10/2015,27.8,12.003571428571426,0.6,7.2
1/11/2015,29.9,12.003571428571426,0.8,7.3
1/12/2015,27.5,12.003571428571426,0.7,7.9
1/1/2016,28.9,12.003571428571426,0.7,8.2
1/2/2016,29.3,12.003571428571426,0.6,7.0
1/3/2016,29.5,12.003571428571426,0.7,8.4
1/4/2016,28.0,12.003571428571426,0.7,8.1
1/5/2016,33.1,12.003571428571426,0.7,8.5
1/6/2016,30.0,12.003571428571426,0.6,8.5
1/7/2016,28.9,12.003571428571426,0.6,8.4
1/8/2016,27.0,12.003571428571426,0.8,8.2
1/9/2016,29.2,12.003571428571426,1.0,8.4
1/10/2016,29.0,12.003571428571426,1.0,8.2
1/11/2016,28.8,12.003571428571426,1.1,7.7
1/12/2016,28.0,12.003571428571426,2.4,7.3
1/1/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/2/2017,30.4,12.003571428571426,1.7,8.9
1/3/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/4/2017,32.5,12.003571428571426,2.5,8.1
1/5/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/6/2017,29.2,12.003571428571426,3.9,8.4
1/7/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/8/2017,28.5,12.003571428571426,2.9,7.9
1/9/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/10/2017,29.9,12.003571428571426,2.6,8.4
1/11/2017,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/12/2017,30.6,12.003571428571426,2.5,7.9
1/1/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/2/2018,28.4,12.003571428571426,2.3,7.6
1/3/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/4/2018,34.4,12.003571428571426,2.7,8.6
1/5/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/6/2018,30.6,12.003571428571426,2.3,8.5
1/7/2018,28.8,12.003571428571426,1.5,8.5
1/8/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/9/2018,26.0,12.003571428571426,2.0,8.4
1/10/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/11/2018,29.5,12.003571428571426,1.5,8.5
1/12/2018,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/1/2019,28.7,12.003571428571426,1.9,8.6
1/2/2019,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/3/2019,26.0,12.003571428571426,1.5,8.6
1/4/2019,29.04492753623188,12.003571428571426,2.0885024154589384,7.300966183574886
1/5/2019,26.3,12.003571428571426,1.4,8.5
